CSA2010,teenbir15,teenbir16,teenbir17,hhpov15,hhpov16,hhpov17,phisp15,phisp16,phsip17,ppac15,ppac16,ppac17
Allendale/Irvington/S. Hilton,33.63914373,45.87155963,29.05198777,24.14712154,21.28264805,20.69506141,1.560945274,1.599515298,2.062656941,0.043532338,0,0
Beechfield/Ten Hills/West Hills,37.43315508,42.78074866,16.04278075,11.16965227,11.58984636,10.47490738,2.838526064,1.62169818,1.784780823,0.434391851,0.566532115,0.313643492
Belair-Edison,28.37837838,27.02702703,21.62162162,18.61207126,19.59215281,20.2745771,0.744615385,1.360219544,1.242807825,0.215384615,0.686075647,0.81127733
Brooklyn/Curtis Bay/Hawkins Point,54.37352246,89.83451537,68.55791962,28.35956416,26.3337469,24.21360644,11.32913989,12.90835502,14.90697674,1.148639409,1.098583406,1.310077519
Canton,0,23.25581395,0,2.9986053,2.260273973,3.661784288,4.919678715,3.165485211,3.08671631,0.238453815,0.415546321,0.564496757
Cedonia/Frankford,35.26734926,23.89078498,27.30375427,16.85602533,15.10777521,12.18214075,3.805746593,2.764480097,3.324558424,0.282688494,0.008625523,0.067934783
Cherry Hill,54.75504323,66.28242075,25.93659942,45.53299492,41.05090312,39.33701657,4.659875893,4.553328384,5.813088746,0.257581079,0.210343974,0
Chinquapin Park/Belvedere,29.53586498,16.87763713,21.09704641,8.852459016,10.16324381,10.12591815,5.540199495,5.362850716,5.940828402,0,0,0
Claremont/Armistead,48.87218045,37.59398496,33.83458647,21.26623377,23.58634743,24,10.30964954,11.48572713,15.24841721,0.576092175,0.573162508,0.611653611
Clifton-Berea,35.98971722,43.70179949,25.70694087,23.62606232,29.24208145,27.64952781,2.246523238,1.800159508,2.03497965,0.499227386,0.535490486,0.06599934
Cross-Country/Cheswolde,6.651884701,2.2172949,0,8.116545265,7.147862649,9.894121942,2.040525114,2.145008448,2.660891089,0.749143836,0.301182693,0.502784653
Dickeyville/Franklintown,21.12676056,35.21126761,14.08450704,21.18863049,17.69547325,17.40890688,1.988862371,1.796239124,1.79576521,1.246353752,1.150715689,0.804073975
Dorchester/Ashburton,25.82159624,23.4741784,16.43192488,18.81679389,15.35493827,17.44510978,0.017008249,0.844764135,0.984420476,0.535759844,0.510204082,0.3509673
Downtown/Seton Hill,10.86956522,32.60869565,54.34782609,5.454545455,7.086614173,6.818181818,5.462540166,5.764649833,4.959436706,2.672078471,5.224710179,4.194091535
Edmondson Village,33.95061728,37.03703704,24.69135802,15.98339388,11.05743425,8.887733888,1.318860878,1.479915433,1.31127451,0.840336134,1.23119015,0.784313725
Fells Point,11.11111111,22.22222222,0,6.164383562,3.791174643,3.263546798,13.90811831,10.57220708,11.03755155,0.440528634,0.326975477,0.35815064
Forest Park/Walbrook,37.23404255,21.27659574,13.29787234,20.34058657,18.94293732,19.26267281,1.406284333,1.443001443,1.024025207,0.12085256,0.103071532,0.049231981
Glen-Fallstaff,17.14285714,17.14285714,20.95238095,19.79638009,20.2957379,17.76393832,5.746329055,5.091540026,4.499183109,1.508844953,0.424793586,0.785471912
Greater Charles Village/Barclay,5.813953488,1.937984496,8.720930233,23.84708738,25.95462092,18.99141631,5.200531529,4.89252195,5.189803778,0.94829669,0.896155011,0.996393423
Greater Govans,46.34146341,21.95121951,31.70731707,21.31557036,19.2692475,19.53226505,2.304404386,2.131523609,1.948717949,0,0.076467215,0.111888112
Greater Mondawmin,16.10017889,12.52236136,14.31127013,18.3074266,17.17226436,18.76832845,0.430848772,1.177088807,1.023214875,0.269280483,0.472937467,0.429090109
Greater Roland Park/Poplar Hill,0,0,0,3.752759382,3.634361233,2.146892655,2.939632546,3.287600311,3.26557377,0.721784777,0.828371732,0.957377049
Greater Rosemont,39.80099502,36.06965174,27.36318408,21.32921175,23.89354932,23.63387978,1.452242339,1.407772831,0.645607563,0.108758237,0.270725544,0.23057413
Greenmount East,38.56749311,44.07713499,24.79338843,25.82099163,24.18006431,24.20062696,1.911324925,2.048040455,1.973767987,0.234039787,0.240202276,0.203743792
Hamilton,16.84210526,23.15789474,12.63157895,8.697007481,10.9202454,8.997655334,1.490324016,1.479773944,1.637097937,0.504189219,0.505651398,0.432713111
Harbor East/Little Italy,28.16901408,28.16901408,21.12676056,38.10444874,31.06134372,26.85827552,8.695652174,10.63304532,14.69552974,0.159066808,0.423205784,0.404787047
Harford/Echodale,31.68316832,19.8019802,17.82178218,9.341709915,8.983384962,10.15709642,3.348572841,3.318976438,3.253191226,0.432472507,0.247023055,0
Highlandtown,68.96551724,60.34482759,43.10344828,9.559939302,9.009009009,6.652512385,17.11588453,16.06896552,16.86115117,0.095772335,0,0
Howard Park/West Arlington,14.00560224,8.403361345,25.21008403,19.54986761,17.42254154,15.47186933,0.663318488,0.83364209,0.777728679,0.464322941,0.80585402,0.159080866
Inner Harbor/Federal Hill,10,10,10,7.52857706,2.745256358,2.33570863,4.672967297,5.25147929,5.254249761,0.180018002,0.724852071,1.000809478
Lauraville,18.26484018,13.69863014,11.41552511,9.356101032,9.670637701,7.488679902,2.351596309,3.641134984,3.879204518,1.379929779,2.894866328,2.226041411
Loch Raven,26.11940299,41.04477612,20.52238806,12.1056493,11.56113817,5.385029618,1.753672841,1.899736148,2.027422946,0.005806864,0.375256523,0.984413454
Madison/East End,53.16455696,32.91139241,37.97468354,32.82387191,32.37410072,33.74233129,7.009994448,9.4053745,8.936428463,1.388117712,0.6432247,1.365498407
Medfield/Hampden/Woodberry/Remington,36.76470588,7.352941176,22.05882353,7.138744963,7.394156231,5.980484734,4.517900034,4.035108388,3.664505078,0.308818483,0.270970782,0.312002936
Midtown,3.205128205,1.602564103,9.615384615,7.571660357,8.064516129,5.419489317,5.772823916,6.183196619,6.083501596,0.322144192,0.652498136,0.683905426
Midway/Coldstream,32.71028037,46.72897196,28.03738318,25.79162411,23.63737486,22.60387812,1.998717401,1.573627383,1.410298459,0.309961522,0.482425913,0.295178747
Morrell Park/Violetville,73.89162562,19.7044335,68.96551724,12.50777847,14.52879581,12.80853903,6.648800408,8.823913327,9.410075698,0.140377744,0.169690641,0.548159749
Mount Washington/Coldspring,0,0,0,5.055698372,3.789836348,1.996370236,3.544994157,3.601440576,4.23439695,0.370081808,0,0
North Baltimore/Guilford/Homeland,0.780640125,0.780640125,1.56128025,5.824915825,5.725567621,3.482899278,3.588475473,3.377088996,3.854606932,0.603830007,0.58405135,0.726965342
Northwood,6.696428571,8.18452381,6.696428571,7.974530018,7.604448452,6.609017912,2.678624108,3.527367507,4.087333257,0.289102602,0.335939763,0.541557405
Oldtown/Middle East,44.51038576,44.51038576,20.77151335,44.38502674,42.5,40.12629162,1.173936457,1.464063886,1.604390965,0.172320948,0.310559006,0.189993667
Orangeville/East Highlandtown,126.2626263,45.45454545,85.85858586,13.06921676,13.68267831,13.23671498,31.88715953,35.066719,35.22737841,2.354085603,2.394034537,2.278433925
Patterson Park North & East,59.70149254,59.70149254,17.41293532,26.28062361,22.83290299,21.68766705,15.52700649,17.09279335,14.01664786,0.635446885,0.736346901,0.246896163
Penn North/Reservoir Hill,32.35294118,29.41176471,26.47058824,29.26455567,29.42453855,25.9645464,1.853252648,2.845409211,2.876336456,0.784795764,0.674684658,0.662314315
Pimlico/Arlington/Hilltop,56.37254902,63.7254902,24.50980392,17.44186047,19,19.1190253,0.898511039,0.599074158,0.567697985,0,0.117999455,0.236540827
Poppleton/The Terraces/Hollins Market,47.61904762,35.71428571,23.80952381,48.72093023,47.65458422,44.97237569,1.810414972,2.034366976,1.36532892,0.081366965,0.098755678,0.103434009
Sandtown-Winchester/Harlem Park,39.68253968,34.92063492,33.33333333,35.84777438,31.82289865,35.04508036,0.380203634,0.14129996,0.333232354,1.185719809,1.345713901,1.295062102
South Baltimore,0,0,15.38461538,3.701015965,0.811907984,0.826446281,5.01620403,4.594263966,3.973054715,0.112723686,0.095147479,0.109980753
Southeastern,48.54368932,38.83495146,33.98058252,26.25656414,29.4488189,30.28169014,21.86996239,23.3044733,25.59178944,1.558301988,0.505050505,0.546267174
Southern Park Heights,24.20856611,39.10614525,26.0707635,35.93103448,34.87052146,31.62575596,2.678990021,2.857142857,1.885150812,0.033487375,0.042643923,0.0362529
Southwest Baltimore,37.90849673,26.14379085,37.90849673,32.98368298,36.01598174,35.78324509,6.167940713,6.454354848,6.732767322,0.752757192,1.031336771,1.07463041
The Waverlies,26.78571429,22.32142857,49.10714286,14.27672956,18.34034877,20.51435407,1.269881991,3.147730123,3.723854431,3.155464341,2.997241033,2.937976061
Upton/Druid Heights,39.47368421,26.31578947,47.36842105,46.64664665,44.15,42.98245614,0.506404528,0.604760047,0.636630754,0.287955516,0.370659384,0.450538688
Washington Village/Pigtown,40.69767442,23.25581395,23.25581395,24.74032106,24.78873239,22.57425743,2.357343312,3.381458967,2.646677772,0,0,0
Westport/Mount Winans/Lakeland,45.80152672,61.06870229,49.61832061,23.70555209,19.85018727,21.82284981,5.627332759,4.286759327,7.472201631,0.057421763,0.07315289,0